#
# Uext(0,y,0) & pot4(0,y,0) at begining of the process
#
 -5.1200000000E+01 -2.0230222994E-05 -1.9993940220E-03
 -5.0800000000E+01 -2.1001283601E-05 -2.9107996114E-03
 -5.0400000000E+01 -2.1805440800E-05 -2.0201831508E-03
 -5.0000000000E+01 -2.2644251403E-05 -2.9501270868E-03
 -4.9600000000E+01 -2.3519350401E-05 -2.0801369256E-03
 -4.9200000000E+01 -2.4432455031E-05 -3.0284214746E-03
 -4.8800000000E+01 -2.5385369060E-05 -2.1810481692E-03
 -4.8400000000E+01 -2.6379987276E-05 -3.1480529411E-03
 -4.8000000000E+01 -2.7418300222E-05 -2.3260168639E-03
 -4.7600000000E+01 -2.8502399158E-05 -3.3127007933E-03
 -4.7200000000E+01 -2.9634481290E-05 -2.5195989746E-03
 -4.6800000000E+01 -3.0816855243E-05 -3.5275732136E-03
 -4.6400000000E+01 -3.2051946821E-05 -2.7680372316E-03
 -4.6000000000E+01 -3.3342305048E-05 -3.7996687006E-03
 -4.5600000000E+01 -3.4690608504E-05 -3.0796188143E-03
 -4.5200000000E+01 -3.6099671968E-05 -4.1381928103E-03
 -4.4800000000E+01 -3.7572453384E-05 -3.4651423052E-03
 -4.4400000000E+01 -3.9112061161E-05 -4.5550829360E-03
 -4.4000000000E+01 -4.0721761804E-05 -3.9385553710E-03
 -4.3600000000E+01 -4.2404987913E-05 -5.0657393205E-03
 -4.3200000000E+01 -4.4165346541E-05 -4.5178441398E-03
 -4.2800000000E+01 -4.6006627926E-05 -5.6900476881E-03
 -4.2400000000E+01 -4.7932814611E-05 -5.2262232873E-03
 -4.2000000000E+01 -4.9948090963E-05 -6.4537369591E-03
 -4.1600000000E+01 -5.2056853086E-05 -6.0937927525E-03
 -4.1200000000E+01 -5.4263719152E-05 -7.3902908922E-03
 -4.0800000000E+01 -5.6573540145E-05 -7.1598194397E-03
 -4.0400000000E+01 -5.8991411028E-05 -8.5435959637E-03
 -4.0000000000E+01 -6.1522682324E-05 -8.4759340905E-03
 -3.9600000000E+01 -6.4172972132E-05 -9.9716686272E-03
 -3.9200000000E+01 -6.6948178549E-05 -1.0110690771E-02
 -3.8800000000E+01 -6.9854492514E-05 -1.1752024641E-02
 -3.8400000000E+01 -7.2898411050E-05 -1.2156093497E-02
 -3.8000000000E+01 -7.6086750900E-05 -1.3989427401E-02
 -3.7600000000E+01 -7.9426662534E-05 -1.4737150388E-02
 -3.7200000000E+01 -8.2925644499E-05 -1.6827340961E-02
 -3.6800000000E+01 -8.6591558093E-05 -1.8026106996E-02
 -3.6400000000E+01 -9.0432642319E-05 -2.0465112372E-02
 -3.6000000000E+01 -9.4457529079E-05 -2.2263988662E-02
 -3.5600000000E+01 -9.8675258553E-05 -2.5184336610E-02
 -3.5200000000E+01 -1.0309529470E-04 -2.7793963462E-02
 -3.4800000000E+01 -1.0772754082E-04 -3.1390130306E-02
 -3.4400000000E+01 -1.1258235507E-04 -3.5114301798E-02
 -3.4000000000E+01 -1.1767056587E-04 -3.9677504068E-02
 -3.3600000000E+01 -1.2300348706E-04 -4.4964507887E-02
 -3.3200000000E+01 -1.2859293272E-04 -5.0941122054E-02
 -3.2800000000E+01 -1.3445123141E-04 -5.8469905088E-02
 -3.2400000000E+01 -1.4059123983E-04 -6.6562657199E-02
 -3.2000000000E+01 -1.4702635562E-04 -7.7392717781E-02
 -3.1600000000E+01 -1.5377052902E-04 -8.8742422933E-02
 -3.1200000000E+01 -1.6083827338E-04 -1.0458573131E-01
 -3.0800000000E+01 -1.6824467405E-04 -1.2111178266E-01
 -3.0400000000E+01 -1.7600539553E-04 -1.4484970714E-01
 -3.0000000000E+01 -1.8413668644E-04 -1.6992124546E-01
 -2.9600000000E+01 -1.9265538212E-04 -2.0664261457E-01
 -2.9200000000E+01 -2.0157890438E-04 -2.4648146825E-01
 -2.8800000000E+01 -2.1092525801E-04 -3.0570882672E-01
 -2.8400000000E+01 -2.2071302375E-04 -3.7253166274E-01
 -2.8000000000E+01 -2.3096134702E-04 -4.7338139189E-01
 -2.7600000000E+01 -2.4168992212E-04 -5.9304040234E-01
 -2.7200000000E+01 -2.5291897122E-04 -7.7732413176E-01
 -2.6800000000E+01 -2.6466921771E-04 -1.0097084044E+00
 -2.6400000000E+01 -2.7696185308E-04 -1.3787338102E+00
 -2.6000000000E+01 -2.8981849694E-04 -1.8771347880E+00
 -2.5600000000E+01 -3.0326114930E-04 -2.7023820840E+00
 -2.5200000000E+01 -3.1731213455E-04 -3.8710318218E+00
 -2.4800000000E+01 -3.3199403635E-04 -5.7871190174E+00
 -2.4400000000E+01 -3.4732962264E-04 -7.2961790773E+00
 -2.4000000000E+01 -3.6334176022E-04 -6.9682715465E+00
 -2.3600000000E+01 -3.8005331785E-04 -6.7733012171E+00
 -2.3200000000E+01 -3.9748705740E-04 -6.3913674331E+00
 -2.2800000000E+01 -4.1566551214E-04 -6.1261906495E+00
 -2.2400000000E+01 -4.3461085160E-04 -5.6133932669E+00
 -2.2000000000E+01 -4.5434473226E-04 -4.9192589243E+00
 -2.1600000000E+01 -4.7488813358E-04 -3.8495778009E+00
 -2.1200000000E+01 -4.9626117883E-04 -2.6006993718E+00
 -2.0800000000E+01 -5.1848294037E-04 -1.1390514802E+00
 -2.0400000000E+01 -5.4157122912E-04  4.4932990044E-02
 -2.0000000000E+01 -5.6554236818E-04  1.0300527126E+00
 -1.9600000000E+01 -5.9041095060E-04 -1.7904794271E-01
 -1.9200000000E+01 -6.1618958177E-04 -1.9906185657E+00
